,N,logD
0,1.0,0.48894472203105155
1,119572.87039239002,-2.6254158662125016
2,476909.30915576697,-2.210500089478159
3,1072010.316290131,-2.7262279410127546
4,1904875.8917954818,-2.8518101237962172
5,2975506.0356718195,-3.1898409743138485
6,4283900.747919145,-3.085466343521187
7,5830060.028537456,-3.106057191881358
8,7613983.8775267545,-2.9333276938212713
9,9635672.29488704,-3.6135883244932607
10,11895125.280618312,-3.6265775377439327
11,14392342.83472057,-3.2063021765460107
12,17127324.957193818,-3.4569049917309416
13,20100071.64803805,-3.819861080205956
14,23310582.907253273,-3.196375226825368
15,26758858.734839473,-3.368208999847787
16,30444899.13079667,-3.875099196634558
17,34368704.095124856,-3.698850847619803
18,38530273.62782402,-3.955483009522949
19,42929607.72889418,-3.4362227503144673
20,47566706.398335315,-3.615766986557067
21,52441569.63614745,-3.564634930310895
22,57554197.442330554,-3.9464240842107943
23,62904589.81688467,-3.667583946630974
24,68492746.75980976,-3.6771635970789576
25,74318668.27110583,-3.9443092519208434
26,80382354.35077289,-4.305862567993192
27,86683804.99881096,-3.8075040506651794
28,93223020.21521999,-3.497245343563903
29,100000000.0,-3.533690840866034
